Переменная|Англ.|Русс.|Укр.
Республика Индия||Республика Индия|Республіка Індія
Республика Индонезия||Республика Индонезия|Республіка Індонезія
Республика Ирак||Республика Ирак|Республіка Ірак
Республика Исландия||Республика Исландия|Республіка Ісландія
Республика Кабо-Верде||Республика Кабо-Верде|Республіка Кабо-Верде
Республика Казахстан||Республика Казахстан|Республіка Казахстан
Республика Камерун||Республика Камерун|Республіка Камерун
Республика Кения||Республика Кения|Республіка Кенія
Республика Кипр||Республика Кипр|Республіка Кіпр
Республика Кирибати||Республика Кирибати|Республіка Кірібаті
Республика Колумбия||Республика Колумбия|Республіка Колумбія
Республика Конго||Республика Конго|Республіка Конго
Республика Корея||Республика Корея|Республіка Корея
Республика Коста-Рика||Республика Коста-Рика|Республіка Коста-Ріка
Республика Кот д`Ивуар||Республика Кот д`Ивуар|Республіка Кот д `Івуар
Республика Куба||Республика Куба|Республіка Куба
Республика Либерия||Республика Либерия|Республіка Ліберія
Республика Маврикий||Республика Маврикий|Республіка Маврикій
Республика Мадагаскар||Республика Мадагаскар|Республіка Мадагаскар
Республика Македония|The Republic of Macedonia|Республика Македония|Республіка Македонія
Республика Малави||Республика Малави|Республіка Малаві
Республика Мали||Республика Мали|Республіка Малі
Республика Мальта||Республика Мальта|Республіка Мальта
Республика Маршалловы острова||Республика Маршалловы острова|Республіка Маршаллові острови
Республика Мозамбик||Республика Мозамбик|Республіка Мозамбік
Республика Молдова||Республика Молдова|Республіка Молдова
Республика Намибия||Республика Намибия|Республіка Намібія
Республика Науру||Республика Науру|Республіка Науру
Республика Нигер||Республика Нигер|Республіка Нігер
Республика Никарагуа||Республика Никарагуа|Республіка Нікарагуа
Республика Ниуэ||Республика Ниуэ|Республіка Ніуе
Республика Палау||Республика Палау|Республіка Палау
Республика Панама||Республика Панама|Республіка Панама
Республика Парагвай||Республика Парагвай|Республіка Парагвай
Республика Перу||Республика Перу|Республіка Перу
Республика Польша||Республика Польша|республіка Польща
Республика Сан-Марино||Республика Сан-Марино|Республіка Сан-Марино
Республика Сейшелы||Республика Сейшелы|Республіка Сейшели
Республика Сенегал||Республика Сенегал|Республіка Сенегал
Республика Сербия||Республика Сербия|Республіка Сербія
Республика Сингапур||Республика Сингапур|Республіка Сінгапур
Республика Словения||Республика Словения|Республіка Словенія
Республика Судан||Республика Судан|Республіка Судан
Республика Суринам||Республика Суринам|Республіка Суринам
Республика Сьерра-Леоне||Республика Сьерра-Леоне|Республіка Сьєрра-Леоне
Республика Таджикистан||Республика Таджикистан|Республіка Таджикистан
Республика Тринидад и Тобаго||Республика Тринидад и Тобаго|Республіка Тринідад і Тобаго
Республика Уганда||Республика Уганда|Республіка Уганда
Республика Узбекистан||Республика Узбекистан|Республіка Узбекистан
Республика Филиппины||Республика Филиппины|Республіка Філіппіни
Республика Хорватия||Республика Хорватия|Республіка Хорватія
Республика Чад||Республика Чад|Республіка Чад
Республика Черногория||Республика Черногория|Республіка Чорногорія
Республика Чили||Республика Чили|Республіка Чилі
Республика Эквадор||Республика Эквадор|Республіка Еквадор
Республика Экваториальная Гвинея||Республика Экваториальная Гвинея|Республіка Екваторіальна Гвінея
Республика Эль-Сальвадор||Республика Эль-Сальвадор|Республіка Ель-Сальвадор
Республика Южная Осетия||Республика Южная Осетия|Республіка Південна Осетія
Республика островов Фиджи||Республика островов Фиджи|Республіка островів Фіджі
Реставрация|Restoration|Реставрация|реставрація
Ресторан|Restaurant|Ресторан|ресторан
frontend.controllers.client.rest_four|Restaurant|Ресторан |ресторан
common.mail.client_invite_supp.rest|Restaurant <b>{rest}</b>invites you into MixCart system!|Ресторан <b>{rest}</b> приглашает вас в систему MixCart!|Ресторан <b> {rest} </ b> запрошує вас в систему MixCart!
sms.add_market|Restaurant {name} found you at market.mix-cart.com and invites working via mix-cart.com|Ресторан {client_name} нашел вас на market.mixcart.ru и приглашает работать с ним через mixcart.ru|Ресторан {client_name} знайшов вас на market.mixcart.ru і запрошує працювати з ним через mixcart.ru
sms.client_invite|Restaurant invites you to work via mix-cart.com|Ресторан {name} приглашает вас работать с ним через mixcart.ru|Ресторан {name} запрошує вас працювати з ним через mixcart.ru
frontend.views.vendor.rest_to_main|Restaurant is connected to<strong>Main catalogue</strong>|Ресторан подключен к <strong>Главному каталогу</strong>|Ресторан підключений до <strong> Головному каталогу </ strong>
franchise.views.site.request.rest|Restaurant:|Ресторан:|ресторан:
frontend.views.site.for_rest_three|For restaurants|Ресторанам|ресторанам
frontend.views.site.rest|Of restaurants|Ресторанов|ресторанів
franchise.views.site.rest|Restaurants:|Ресторанов:|ресторанів:
market.views.site.rest.rest|Restaurants|Рестораны|ресторани
franchise.views.organization.rest_three|Restaurants|Рестораны - |ресторани -
Речная рыба|Fresh-water fish|Речная рыба|Річкова риба
Реюньон|Reunion|Реюньон|Реюньйон
Рис|Rice|Рис|Мал
frontend.views.vendor.role|Role|Роль|роль
frontend.views.site.roman|Roman Kudritsky |Роман Кудрицкий|Роман Кудрицький
frontend.views.site.kucha|Roman Kucha|Роман Куча|Роман Купа
Российская Федерация||Российская Федерация|російська Федерація
Российский рубль|Russian rouble|Российский рубль|Російський рубль
Россия|Russia|Россия|Росія
franchise.views.site.royalty|Royalty MixCart|Роялти MixCart|роялті MixCart
Руанда|Ruanda|Руанда|Руанда
Руандийская Республика||Руандийская Республика|Руандійськая Республіка
Руководитель|Head|Руководитель|керівник
рулон|Roll|Рулон|рулон
Румыния|Romania|Румыния|Румунія
Румынский лей|Romanian leu|Румынский лей|румунський лей
Румынский лей:|Romanian leu:|Румынский лей:|Румунський лей:
Рыба|Fish|Рыба|риба
рыжиковое масло|Cameline oil|Рыжиковое масло|рижієву масло
common.mail.request_set_responsible.from_your|From your request|С вашей заявки|З вашої заявки
СОУСЫ И УКСУСЫ|sauces  and vinegars|СОУСЫ И УКСУСЫ|СОУСИ І оцту
frontend.views.request.urgent|URGENT|СРОЧНО|СРОЧНО
Салаты|Lettuce|Салаты|салати
Салфетки|Napkins|Салфетки|серветки
Самоа|Samoa|Самоа|Самоа
common.models.self_registered|Self-registered company was added into franchise|Самостоятельно зарегистрировавшаяся организация добавлена во франчайзи|Самостійно зареєструвати організація додана у франчайзі
Сан-Марино|San Marino|Сан-Марино|Сан-Марино
Сан-Томе и Принсипи|Sao Tome and Principe|Сан-Томе и Принсипи|Сан-Томе і Прінсіпі
Саудовская Аравия|Saudi Arabia|Саудовская Аравия|Саудівська Аравія
сафлоровое масло|Safflower oil|Сафлоровое масло|афлорова олія
Сахар, соль|Sugar, salt|Сахар, соль|Цукор, сіль
frontend.views.vendor.sat|Sat|Сб|Сб
Свазиленд|Swaziland|Свазиленд|Свазіленд
Свежий хлеб|Fresh bread|Свежий хлеб|Свіжий хліб
Свечи|Candles|Свечи|свічки
Свинина|Pork|Свинина|Свинина
franchise.views.site.request.contact_us|Contact us for quicker recovery of the error! |Свяжитесь с нами для скорейшего устранения данной ошибки!|Зв'яжіться з нами для якнайшвидшого усунення даної помилки!
Святая Елена, Остров вознесения, Тристан-да-Кунья|Saint Elena, Ascension Island, Tristan da Cunha|Святая Елена, Остров вознесения, Тристан-да-Кунья|Свята Єлена, Острів Вознесіння, Трістан-да-Кунья
Сгущенное молоко|Condensed milk|Сгущенное молоко|Згущене молоко
frontend.views.vendor.do_it|Let do it!|Сделаем это!|Зробимо це!
Северная Америка||Северная Америка|Північна Америка
Северная Африка||Северная Африка|Північна Африка
Северная Европа||Северная Европа|Північна Європа
Северные Марианские острова|Northern Mariana Islands|Северные Марианские острова|Північні Маріанські острови
frontend.views.vendor.today|Today|Сегодня|сьогодні
common.models.today_in|Today at|Сегодня, в |Сьогодні в
Сейшелы|Seychelles|Сейшелы|Сейшели
Сельдерей|Celery|Сельдерей|селера
Семечки|Seeds|Семечки|насіння
Сен-Бартельми|Saint Barthelemy|Сен-Бартельми|Сен-Бартельмі
Сен-Мартен|Sen Marten|Сен-Мартен|Сен-Мартен
Сенегал|Senegal|Сенегал|Сенегал
Сент-Винсент и Гренадины|Saint Vincent and the Grenadines|Сент-Винсент и Гренадины|Сент-Вінсент і Гренадіни
Сент-Китс и Невис|Saint Kitts and Nevis|Сент-Китс и Невис|Сент-Кітс і Невіс
Сент-Люсия|Saint Lucia|Сент-Люсия|Сент-Люсія
Сент-Пьер и Микелон|St. Pierre and Miquelon|Сент-Пьер и Микелон|Сент-П'єр і Мікелон
frontend.views.vendor.sept|September|Сентябрь|вересень
common.models.sep|September|Сентября|Вересня
Сербия|Serbia|Сербия|Сербія
common.mail.accept_active_vendor_invite.i_invite|Make your purchases easier and faster with MixCart: price comparison, actual price lists, ordering in 2 clicks and much more.|Сервис автоматизации закупок для ресторанов MixCart позволит вам делать закупки легко и быстро, попробуйте!|Сервіс автоматизації закупівель для ресторанів MixCart дозволить вам робити закупівлі легко і швидко, спробуйте!
Сигареты|Cigarettes|Сигареты|сигарети
Сигары|Cigars|Сигары|сигари
Сингапур|Singapore|Сингапур|Сінгапур
Синт-Мартен|Sint-Marten|Синт-Мартен|Сінт-Мартен
Сирийская Арабская Республика|Syria|Сирийская Арабская Республика|Сирійська Арабська Республіка
franchise.views.site.download_two|Download|Скачать|завантажити
frontend.views.order.index.report|Download as XLS|Скачать в Excel|Завантажити в Excel
frontend.views.order.open_in_pdf|Download as PDF|Скачать в PDF|Завантажити в PDF
franchise.views.finance.download|Download statement|Скачать выписку|завантажити виписку
franchise.views.catalog.download_cat_three|Download catalogue|Скачать каталог|завантажити каталог
franchise.views.site.request.download_list|Download the list|Скачать список|завантажити список
frontend.views.vendor.downl_templ_two|Download template|Скачать шаблон|завантажити шаблон
frontend.views.vendor.downl_templ|Download template (XLS)|Скачать шаблон (XLS)|Завантажити шаблон (XLS)
frontend.views.order.discount|Discount|Скидка|знижка
frontend.views.vendor.var7|Discount %|Скидка %|знижка%
frontend.views.vendor.discount_percent|Discount %|Скидка (%)|Знижка (%)
common.models.discount_rouble_two|Discount ({symbol})|Скидка ({symbol})|Знижка ({symbol})
frontend.views.vendor.discount|Discount %|Скидка (руб)|Знижка (руб)
common.models.discount_rouble|Discount %|Скидка (руб.)|Знижка (грн.)
franchise.views.catalog.newcatalog.var5|Discount %|Скидка в рублях|Знижка в рублях
Скидка:|A discount:|Скидка:|знижка:
frontend.views.request.request_activity_two|Follow activity of request|Следите за активностью заявки|Слідкуйте за активністю заявки
Сливки|Cream|Сливки|вершки
Сливочное масло|Butter|Сливочное масло|Вершкове масло
Словакия|Slovakia|Словакия|Словаччина
Словацкая Республика||Словацкая Республика|Словацька Республіка
Словения|Slovenia|Словения|Словенія
frontend.views.settings.avatar|Change icon|Сменить аватар|змінити аватар
Смеси для выпечки|Baking mixtures|Смеси для выпечки|Суміші для випічки
Сметана|Sour cream|Сметана|сметана
frontend.views.request.off|Cancel placement |Снять с размещения|Зняти з розміщення
frontend.views.site.owner|Co-owner:  Black Smith, Garazh, Shayka Leyka, Azia club|Совладелец: Black Smith, Гараж, Шайка Лейка, Азия клуб|Співвласник: Black Smith, Гараж, Зграя Лейка, Азія клуб
Содружество Багамы||Содружество Багамы|Співдружність Багами
Содружество Доминики||Содружество Доминики|Співдружність Домініки
Содружество Северных Марианских островов||Содружество Северных Марианских островов|Співдружність Північних Маріанських островів
соевое масло|Soybean oil|Соевое масло|соєва олія
Соединенное Королевство|United Kingdom|Соединенное Королевство|Об'єднане Королівство
Соединенное Королевство Великобритании и Северной Ирландии||Соединенное Королевство Великобритании и Северной Ирландии|Сполучене Королівство Великої Британії та Північної Ірландії
Соединенные Штаты|United States|Соединенные Штаты|з'єднані Штати
Соединенные Штаты Америки||Соединенные Штаты Америки|Сполучені Штати Америки
frontend.views.site.create_catalogs|Create catalogues, regulate all prices at once and for definite purchasers. Fix discounts and make a promo for a purchaser, category or one product.  |Создавайте каталоги, регулируйте все цены сразу или для конкретных закупщиков. Устанавливайте скидки и акции для закупщика, для категории или конкретного продукта.|Створюйте каталоги, регулюйте всі ціни відразу або для конкретних закупівельників. Встановлюйте знижки та акції для закупника, для категорії або конкретного продукту.
franchise.views.catalog.edit_vendor|Create, add and edit supplier’s catalogues|Создавайте, добавляйте и редактируйте каталоги поставщика|Створюйте, додавайте і редагуйте каталоги постачальника
frontend.views.vendor.create_catalogs|Create, add and edit your catalogues|Создавайте, добавляйте и редактируйте свои каталоги|Створюйте, додавайте і редагуйте свої каталоги
frontend.views.vendor.creating|Creating…|Создаем...|Створюємо ...
frontend.views.vendor.create_cat|Create your catalogue with products|Создайте свой каталог с товарами|Створіть свій каталог з товарами
frontend.views.vendor.created_at|Created|Создан:|створено:
frontend.views.request.created_two|Created|Создана|створена
common.models.additional_email.creation|Creation|Создание|створення
frontend.views.vendor.new_cat_create|Main catalogue creation|Создание главного каталога|Створення головного каталогу
frontend.views.order.order_create_two|Order is creating|Создание заказа|створення замовлення
frontend.views.client.index.var2|Order generation out of the price lists of your suppliers.|Создание заказа из прайс-листов ваших поставщиков.|Створення замовлення з прайс-листів ваших постачальників.
frontend.views.order.orders_creating|Orders are creating|Создание заказов|створення замовлень
frontend.views.vendor.create_cat_two|New catalogue creation|Создание нового каталога|Створення нового каталогу
common.config.params.pass|Creation of password to enter MixCart system |Создание пароля для входа в систему MixCart|Створення пароля для входу в систему MixCart
common.models.created_two|Created|Создано|створено
frontend.views.vendor.create_two|Create|Создать|створити
frontend.views.user.default.create_business|Create business|Создать бизнес|створити бізнес
frontend.views.vendor.cr_doublicate|Create a copy|Создать дубликат?|Створити дублікат?
frontend.views.client.index.create|Create order|Создать заказ|створити замовлення
frontend.views.client.index.request|Create request|Создать заявку|створити заявку
frontend.views.order.create_template|Create template|Создать шаблон|створити шаблон
Соки и нектары|Juices and nectars|Соки и нектары|Соки та нектари
Соломоновы острова|Solomon Islands|Соломоновы острова|Соломонові острови
Сомали|Somalia|Сомали|Сомалі
Сомалийская Республика||Сомалийская Республика|сомалійська Республіка
common.models.message|Message|Сообщение|Повідомлення
common.components.sms.cant_be|Message cannot be blank|Сообщение не может быть пустым. |Повідомлення не може бути порожнім.
frontend.views.settings.text|Report the error text into the customer support service:|Сообщите текст ошибки в отдел технической поддержки: |Повідомте текст помилки в відділ технічної підтримки:
common.mail.demo.paragraph3||Сообщите, в какое время с Вами можно связаться и обговорить детали.|Повідомте, в який час з Вами можна зв'язатися і обговорити деталі.
common.mail.welcome.sign_2||Сооснователь MixCart|співзасновник MixCart
Сопутствующие товары|Related products|Сопутствующие товары|Супутні товари
frontend.views.guides.sort_by|Sort by|Сортировка по|Сортування по
api.common.models.condition|State|Состояние|стан
frontend.views.vendor.empl_two|Employee|Сотрудник|співробітник
frontend.views.vendor.empl|Personnel|Сотрудники|співробітники
frontend.views.client.suppliers.supplier_apply|Сooperate!|Сотрудничать!|Співпрацювати!
Соусы, уксусы|Sauces, vinegars|Соусы, уксусы|Соуси, оцти
frontend.views.order.saving_changes|Changes application|Сохранение изменений|збереження змін
Сохранено|Saved|Сохранено|збережено
frontend.controllers.vendor.saved_two|Saved!|Сохранено!|Збережено!
Сохранить|Save|Сохранить|зберегти
frontend.views.vendor.save_changes_two|Save changes|Сохранить изменения|зберегти зміни
frontend.views.order.save_three|Do you want to apply changes to the orders?|Сохранить изменения в заказах?|Зберегти зміни в замовленнях?
frontend.views.vendor.saving_two|Saving…|Сохраняем...|Зберігаємо ...
Социалистическая Народная Ливийская Арабская Джамахирия||Социалистическая Народная Ливийская Арабская Джамахирия|Соціалістична Народна Лівійська Арабська Джамахірія
Социалистическая Республика Вьетнам||Социалистическая Республика Вьетнам|Соціалістична Республіка В'єтнам
Союз Коморы||Союз Коморы|Союз Комори
Союз Мьянма||Союз Мьянма|Союз М'янма
Спаржа|Asparagus |Спаржа|спаржа
common.mail.test.text3||Спасибо за внимание!|Дякую за увагу!
common.mail.weekend.thank_you||Спасибо,|Дякуємо,
Специальный административный регион Китая Гонконг||Специальный административный регион Китая Гонконг|Спеціальний адміністративний регіон Китаю Гонконг
Специальный административный регион Китая Макао||Специальный административный регион Китая Макао|Спеціальний адміністративний регіон Китаю Макао
Специи|spices|Специи|спеції
frontend.views.user.default.business_list|Business list |Список бизнесов|список бізнесів
frontend.views.client.index.vendor_list|Your List of Suppliers.|Список ваших поставщиков.|Список ваших постачальників.
frontend.views.client.index.list|Your List of Suppliers. We add several suppliers that we recommend. |Список ваших поставщиков. Специально для Вас мы добавили несколько рекомендованных нами поставщиков|Список ваших постачальників. Спеціально для Вас ми додали кілька рекомендованих нами постачальників
frontend.views.client.supp.vendors_list_two|List of all your suppliers|Список всех ваших поставщиков|Список всіх ваших постачальників
frontend.views.order.orders_list|List of all created orders|Список всех созданных заказов|Список всіх створених замовлень
frontend.views.order.orders_list_two|List of pending orders|Список готовящихся заказов|Список замовлень, що готується
franchise.views.site.rest_orders_list|Order List of restaurants added by you and status|Список заказов подключенных вами ресторанов и их статус|Список замовлень підключених вами ресторанів і їх статус
franchise.views.layouts.req_list|Request list|Список запросов|список запитів
frontend.views.request.request_two|Requests List|Список заявок|список заявок
franchise.views.site.request.rest_req_list|Requests of restaurants added by you|Список заявок подключенных вами ресторанов|Список заявок підключених вами ресторанів
Список платежей|List of payments|Список платежей|список платежів
frontend.views.client.suppliers.vendors_list|Supplier|Список поставщиков|список постачальників
franchise.views.organization.vendors_list_two|Restaurant Supplier list|Список поставщиков ресторана|Список постачальників ресторану
frontend.views.request.empty_list|List is empty|Список пуст|Список порожній
franchise.views.organization.rest_list_two|Restaurant Supplier list|Список ресторанов поставщика|Список ресторанів постачальника
frontend.views.vendor.empl_list|Company Employee list|Список сотрудников организации|Список співробітників організації
franchise.views.organization.employees_list_three|Restaurant Personnel list|Список сотрудников поставщика|Список співробітників постачальника
franchise.views.organization.employees_list_two|Restaurant Personnel list|Список сотрудников ресторана|Список співробітників ресторану
frontend.views.order.guide_list|List of templates|Список шаблонов|список шаблонів
common.models.payment_variant|Way of payment|Способ оплаты|Спосіб оплати
frontend.views.request.payment_variant|Way of payment:|Способ оплаты:|Спосіб оплати:
frontend.views.request.payment_variant_two|What is a way of payment?|Способ оплаты?|Спосіб оплати?
api.common.models.directory|Guide|Справочник|довідник
Спринг роллы|Spring rolls|Спринг роллы|Спрінг роли
frontend.views.vendor.wed|Wed|Ср|Ср
franchise.views.site.middle|Medium (services in process but not in a routine mode)|Средний (функционал работает, но не в штатном режиме)|Середній (функціонал працює, але не в штатному режимі)
franchise.views.anal.middle_turnover_two|Average turnover|Средний оборот|середній оборот
franchise.views.anal.middle_turnover|Average turnover per month (for 1 restaurant)|Средний оборот в месяц (на 1 ресторан)|Середній оборот в місяць (на 1 ресторан)
franchise.views.anal.middle_check_two|Average invoice|Средний чек|Середній чек
franchise.views.anal.middle_check|Average invoice for 1 order|Средний чек на 1 заказ|Середній чек на 1 замовлення
common.models.urgency|Urgency|Срочность|терміновість
frontend.views.request.common_three|Urgent |Срочные|термінові
frontend.views.request.urgent_order_two|Urgent order|Срочный заказ|Термінове замовлення
common.mail.franchisee_associate_added.link|Link for revision:|Ссылка на просмотр:|Посилання на перегляд:
Стартап|Startup|Стартап|стартап
frontend.views.vendor.stat|Statistics|Статистика|Статистика
franchise.views.anal.orders_stat|Order statisticts |Статистика по заказам|Статистика по замовленнях
franchise.views.anal.turnover_stat|Turnover statisticts|Статистика по обороту|Статистика по обороту
franchise.views.anal.rest_stat_two|Added restaurant statistics|Статистика по подключенным ресторанам|Статистика по підключеним ресторанам
franchise.views.anal.reg_stat|Statistics on registrations|Статистика по регистрациям|Статистика по реєстраціях
frontend.views.client.anal.stat|Product statistics|Статистика по товарам|Статистика по товарах
franchise.views.anal.vendors_stat|Supplier statistics|Статистика поставщика|Статистика постачальника
franchise.views.anal.rest_stat|Restaurant statistics|Статистика ресторана|Статистика ресторану
Статус|Status|Статус|статус
frontend.views.vendor.order_status|Order status|Статус заказа|Статус замовлення
frontend.views.client.suppliers.status|Cooperation status|Статус сотрудничества|статус співпраці
frontend.views.layouts.main.become|Become a partner|Стать партнером|Стати партнером
common.models.delivery_price|Delivery cost|Стоимость доставки|Вартість доставки
Стоимость доставки:|Cost of delivery:|Стоимость доставки:|Вартість доставки:
frontend.views.order.free_delivery_price|Order cost for free delivery|Стоимость заказа для бесплатной доставки у поставщика:|Вартість замовлення для безкоштовної доставки у постачальника:
frontend.views.request.service_price_nine|Cost of service:|Стоимость услуги:|Вартість послуги:
Столовые комплекты|Cutlery sets|Столовые комплекты|столові комплекти
Столы|Tables|Столы|столи
Столы банкетные|Banquet tables|Столы банкетные|столи банкетні
frontend.views.vendor.country_two|Country|Страна|Країна
frontend.views.vendor.country|Country of origin|Страна производитель|Країна виробник
market.views.site.product.country|Country:|Страна:|Країна:
frontend.views.site.construction|Page under construction|Страница находится в разработке|Сторінка знаходиться в розробці
Стулья|Chairs|Стулья|стільці
Судан|Sudan|Судан|Судан
Султанат Оман||Султанат Оман|султанат Оман
Сумма|Amount|Сумма|сума
franchise.views.organization.sum_two|Orders total amount|Сумма заказов|сума замовлень
Суринам|Surinam|Суринам|Суринам
Сухофрукты|Dried fruits|Сухофрукты|сухофрукти
Сыры|cheese|Сыры|сири
Сьерра-Леоне|Sierra Leone|Сьерра-Леоне|Сьєрра-Леоне
frontend.views.layouts.left.techno|Customer support|ТЕХНИЧЕСКАЯ ПОДДЕРЖКА|ТЕХНІЧНА ПІДТРИМКА
Табак для кальяна|Hookah tobacco|Табак для кальяна|Табак для кальяну
Табачные изделия|Tobacco products|Табачные изделия|Табачні вироби
Таджикистан|Tajikistan|Таджикистан|Таджикистан
Таиланд|Thailand|Таиланд|Таїланд
Тайвань (Китай)|Taiwan (China)|Тайвань (Китай)|Тайвань (Китай)
Танзания, Объединенная Республика|Tanzania, United Republic|Танзания, Объединенная Республика|Танзанія, Об'єднана Республіка
frontend.views.layouts.main.tax_two|Plan|Тариф|тариф
frontend.views.layouts.main.rates|Rates|Тарифы|тарифи
Тарталетки|Custard tart|Тарталетки|тарталетки
Творог|Quark |Творог|Сир
frontend.views.vendor.curr_week|Current week|Текущая неделя|Поточний тиждень
frontend.views.vendor.current_cat_two|This catalogue|Текущий каталог|Поточний каталог
frontend.views.vendor.curr_month|current month|Текущий месяц|Поточний місяць
frontend.views.vendor.phone|Phone number|Телефон|Телефон
franchise.views.organization.contact_phone|Contact person phone number|Телефон контактного лица|Телефон контактної особи
franchise.views.organization.contact_phone_two|Contact person phone number:|Телефон контактного лица:|Телефон контактної особи:
franchise.views.site.managers_phone|Manager phone number|Телефон менеджера|Телефон менеджера
frontend.views.client.supp.phone|Supplier phone number|Телефон поставщика|Телефон постачальника
Телефон:|Phone:|Телефон:|Телефон:
Телятина|Veal|Телятина|телятина
api.modules.v1.modules.mobile.components.notifications.auth_new|Now you can log in with new password.|Теперь Вы можете авторизоваться с новым паролем.|Тепер Ви можете авторизуватися з новим паролем.
Тесто|Dough|Тесто|тісто
franchise.views.layouts.tech_supp|User support|Тех. поддержка|Тих. підтримка
frontend.views.client.dashboard.techno|Customer support|Техническая поддержка|Технічна підтримка
common.mail.welcome.driver|Technologies became drivers of business development in all industries of major countries. It is now becoming apparent that companies ignoring technologies or being skeptical about them will leave the market in the years ahead or they will have to adapt to new realities.  |Технологии стали драйвером развития бизнеса во всех сферах в большинстве стран мира. Нам уже сейчас становится очевидно то, что компании, игнорирующие технологии или скептически к ним настроенные, уйдут с рынка в ближайшие годы, либо им придется адаптироваться под новые реалии|Технології стали драйвером розвитку бізнесу в усіх сферах в більшості країн світу. Нам вже зараз стає очевидним є те, що компанії, котрі ігнорують технології або скептично до них налаштовані, підуть з ринку в найближчі роки, або їм доведеться адаптуватися під нові реалії
api.common.mail.confirm_email.tech|Technologies became drivers of business development in all industries of major countries. It is now becoming apparent that companies ignoring technologies or being skeptical about them will leave the market in the years ahead or they will have to adapt to new realities.  |Технологии стали драйвером развития бизнеса во всех сферах в большинстве стран мира. Нам уже сейчас становится очевидно то, что компании, игнорирующие технологии или скептически к ним настроенные, уйдут с рынка в ближайшие годы, либо им придется адаптироваться под новые реалии.|Технології стали драйвером розвитку бізнесу в усіх сферах в більшості країн світу. Нам вже зараз стає очевидним є те, що компанії, котрі ігнорують технології або скептично до них налаштовані, підуть з ринку в найближчі роки, або їм доведеться адаптуватися під нові реалії.
Тимор-Лесте|Timor-Leste|Тимор-Лесте|Тимор-Лешті
common.models.business_type|Business type|Тип бизнеса|Тип бізнесу
common.models.import_type|Import type|Тип импорта|Тип імпорту
Тип оплаты|Payment type|Тип оплаты|Тип оплати
common.mail.franchisee_associate_added.org_type|Company type:|Тип организации:|Тип організації:
Тип платежа|Type of payment|Тип платежа|Тип платежу
frontend.views.vendor.good|Product|Товар|товар
franchise.views.catalog.catalogs.will_available|The product will be available on F-Market platform within 2 minutes|Товар будет доступен на площадке F-Market в течении 2 минут|Товар буде доступний на майданчику F-Market протягом 2 хвилин
frontend.views.vendor.good_market|The Product will be available on MixMarket platform in 2 minutes|Товар будет доступен на площадке MixMarket в течении 2 минут|Товар буде доступний на майданчику MixMarket протягом 2 хвилин
frontend.views.order.var6|Product will be deleted from the order. Continue? |Товар будет удален из заказа. Продолжить?|Товар буде видалений з замовлення. Продовжити?
Товар добавлен!|Item added!|Товар добавлен!|Товар доданий!
Товар обновлен!|Item has been updated!|Товар обновлен!|Товар оновлено!
frontend.views.order.var9|Product is deleted from the order!|Товар удален из заказа!|Товар вилучений з замовлення!
frontend.views.order.good_deleted|Product is deleted!|Товар удален!|Товар вилучено!
market.views.site.main.goods|products|Товаров|товарів
market.views.site.search_prods.no_goods|Found Products |Товаров найдено: |Товарів знайдено:
Того|Togo|Того|того
Тоголезская Республика||Тоголезская Республика|тоголезька Республіка
Токелау|Tokelau|Токелау|Токелау
common.mail.manager_message.li4||Только для поставщиков: стать нашим партнером и размещать продукты на MixMarket|Тільки для постачальників: стати нашим партнером і розміщувати продукти на MixMarket
frontend.views.request.just_mine|Only my |Только мои|тільки мої
Томаты|Tomatoes|Томаты|томати
Тонга|Tonga|Тонга|Тонга
Торты и пирожные|Cakes|Торты и пирожные|Торти і тістечка
Тринидад и Тобаго|Trinidad and Tobago|Тринидад и Тобаго|Трінідад і Тобаго
Тувалу|Tuvalu|Тувалу|Тувалу
Тунис|Tunis|Тунис|Туніс
Тунисская Республика||Тунисская Республика|Туніська Республіка
Турецкая Республика||Турецкая Республика|Турецька Республіка
Туркменистан||Туркменистан|Туркменістан
Туркмения|Turkmenistan|Туркмения|Туркменія
Турция|Turkey|Турция|Туреччина
Тыква|Pumpkins|Тыква|гарбуз
тыквенное масло|Pumpkin oil|Тыквенное масло|Гарбузове масло
УПС! Ошибка|UPS! Error|УПС! Ошибка|УПС! Помилка
market.views.site.supplier.conditions|TERMS OF DELIVERY|УСЛОВИЯ ДОСТАВКИ|УМОВИ ДОСТАВКИ
frontend.views.request.kill_executor|Delete performer|Убрать исполнителя|Прибрати виконавця
